EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
17533,194328,BIBBIANA                                ,IT,+44:07:50,+011:30:38, 658, TG3,20051231,20220130,   54,Valentina Pavan                                   
  855,194344,BOBBIO                                  ,IT,+44:45:18,+009:23:03, 270, TG3,20060101,20220130,   54,Valentina Pavan                                   
17536,194360,BOLOGNA_IDROGRAFICO                     ,IT,+44:29:59,+011:20:46,  84, TG3,20150924,20220130,   54,Valentina Pavan                                   
17536,194384,BOLOGNA_URBANA                          ,IT,+44:30:02,+011:19:43,  78, TG3,20051231,20220115,   54,Valentina Pavan                                   
17537,194368,BOLOGNA_SAN_LUCA                        ,IT,+44:28:43,+011:17:54, 286, TG3,20090724,20220130,   54,Valentina Pavan                                   
17537,196344,PADERNO                                 ,IT,+44:26:49,+011:18:57, 267, TG3,20140206,20220130,   54,Valentina Pavan                                   
17537,197360,SASSO_MARCONI_ARPA                      ,IT,+44:26:22,+011:14:28, 275, TG3,20051231,20220130,   54,Valentina Pavan                                   
17538,194376,BOLOGNA_TORRE_ASINELLI                  ,IT,+44:29:39,+011:20:48, 148, TG3,20060503,20220130,   54,Valentina Pavan                                   
17539,194360,BOLOGNA_IDROGRAFICO                     ,IT,+44:29:59,+011:20:46,  84, TG3,20150924,20220130,   54,Valentina Pavan                                   
17539,194384,BOLOGNA_URBANA                          ,IT,+44:30:02,+011:19:43,  78, TG3,20051231,20220115,   54,Valentina Pavan                                   
17540,194400,BONDENO                                 ,IT,+44:54:00,+011:21:00,   9, TG3,20121231,20180220,   54,Valentina Pavan                                   
17540,195288,FINALE_EMILIA                           ,IT,+44:48:56,+011:15:04,  16, TG3,20060531,20220130,   54,Valentina Pavan                                   
