Time (sec), Heater 1 (%), Temperature 1 (degC), Heater 2 (%), Temperature 2 (degC)
4.609691479206085205e+02,9.429837436711927978e+01,4.559443499363732144e+01,6.420999999999999375e+01,5.625000000000000000e+01
4.639593060016632080e+02,9.429837436711927978e+01,4.042843828945126461e+01,6.440000000000000568e+01,5.596000000000000085e+01
4.669530980587005615e+02,9.429837436711927978e+01,4.042843828945126461e+01,6.476000000000000512e+01,5.618999999999999773e+01
4.699483499526977539e+02,9.429837436711927978e+01,4.042843828945126461e+01,6.501999999999999602e+01,5.614999999999999858e+01
4.729431428909301758e+02,9.429837436711927978e+01,4.042843828945126461e+01,6.534000000000000341e+01,5.596000000000000085e+01
4.759383480548858643e+02,9.429837436711927978e+01,4.042843828945126461e+01,6.579000000000000625e+01,5.579999999999999716e+01
4.789334218502044678e+02,6.462013982336900497e+00,4.042843828945126461e+01,6.584999999999999432e+01,5.579999999999999716e+01
4.819249339103698730e+02,6.462013982336900497e+00,4.042843828945126461e+01,6.623999999999999488e+01,5.560999999999999943e+01
4.849156177043914795e+02,6.462013982336900497e+00,4.042843828945126461e+01,6.656000000000000227e+01,5.564000000000000057e+01
4.879086289405822754e+02,6.462013982336900497e+00,4.042843828945126461e+01,6.684999999999999432e+01,5.550999999999999801e+01
4.909038789272308350e+02,6.462013982336900497e+00,4.042843828945126461e+01,6.692000000000000171e+01,5.535000000000000142e+01
4.938967580795288086e+02,6.462013982336900497e+00,1.457824245775990413e+01,6.656000000000000227e+01,5.525000000000000000e+01
4.968919689655303955e+02,6.462013982336900497e+00,1.457824245775990413e+01,6.646999999999999886e+01,5.509000000000000341e+01
4.998838908672332764e+02,6.462013982336900497e+00,1.457824245775990413e+01,6.626999999999999602e+01,5.506000000000000227e+01
5.028791408538818359e+02,6.462013982336900497e+00,1.457824245775990413e+01,6.598000000000000398e+01,5.464000000000000057e+01
5.058696420192718506e+02,6.462013982336900497e+00,1.457824245775990413e+01,6.565999999999999659e+01,5.479999999999999716e+01
5.088648488521575928e+02,6.801136129995119006e+01,1.457824245775990413e+01,6.507999999999999829e+01,5.435000000000000142e+01
5.118558280467987061e+02,6.801136129995119006e+01,1.457824245775990413e+01,6.479000000000000625e+01,5.421999999999999886e+01
5.148510370254516602e+02,6.801136129995119006e+01,1.457824245775990413e+01,6.443999999999999773e+01,5.409000000000000341e+01
5.178438689708709717e+02,6.801136129995119006e+01,1.457824245775990413e+01,6.415000000000000568e+01,5.396000000000000085e+01
5.208359119892120361e+02,6.801136129995119006e+01,1.457824245775990413e+01,6.395000000000000284e+01,5.377000000000000313e+01
5.238293669223785400e+02,6.801136129995119006e+01,7.464614196786956768e+01,6.378999999999999915e+01,5.360999999999999943e+01
5.268242330551147461e+02,6.801136129995119006e+01,7.464614196786956768e+01,6.372999999999999687e+01,5.347999999999999687e+01
